drawing_category,location,age,participant_id,distance_cat_site,recognized,target_similarity
bird,Beijing,6,THU6F32,0.0673828125,True,0.305419921875
house,Beijing,4,THU4M7,0.09033203125,False,0.2308349609375
bike,Beijing,8,THU8F34,0.06689453125,False,0.266357421875
tree,Beijing,4,THU4F8,0.072265625,True,0.30029296875
car,Beijing,8,THU8F36,0.0830078125,False,0.258544921875
cat,Beijing,7,THU6F13,0.06396484375,True,0.30224609375
tree,Beijing,6,THU6M1,0.0556640625,True,0.294921875
tree,Beijing,9,THU9M37,0.09521484375,False,0.2431640625
bird,Beijing,4,THU5M4,0.04541015625,True,0.277587890625
rabbit,Beijing,5,THU5M3,0.1259765625,False,0.26513671875
house,Beijing,9,THU9M46,0.080078125,True,0.328857421875
chair,Beijing,8,THU8M21,0.0703125,True,0.35693359375
bike,Beijing,8,THU9M2,0.03125,True,0.28515625
tree,Beijing,8,THU8M21,0.04248046875,True,0.329345703125
cat,Beijing,9,THU9F1,0.0576171875,True,0.314453125
cup,Beijing,6,THU6F20,0.0302734375,False,0.29150390625
bird,Beijing,8,THU8F13,0.0302734375,True,0.2958984375
bike,Beijing,8,THU8M37,0.05029296875,True,0.326416015625
cup,Beijing,4,THU4M5,0.03955078125,False,0.2666015625
chair,Beijing,9,THU9F35,0.04296875,True,0.31640625
house,Beijing,6,THU6M21,0.05517578125,True,0.324462890625
cup,Beijing,8,THU8F24,0.03515625,True,0.311767578125
tree,Beijing,8,THU9F38,0.03564453125,False,0.26025390625
rabbit,Beijing,7,THU7M45,0.05810546875,True,0.31103515625
bike,Beijing,9,THU9M11,0.04443359375,True,0.345947265625
bike,Beijing,8,THU8M14,0.0283203125,True,0.321044921875
chair,Beijing,5,THU5F6,0.08740234375,False,0.2476806640625
tree,Beijing,5,THU5F6,0.06005859375,True,0.30517578125
house,Beijing,9,THU9M47,0.06005859375,True,0.3193359375
tree,Beijing,7,THU7M46,0.06640625,False,0.24609375
cup,Beijing,6,THU7M44,0.06591796875,True,0.328857421875
house,Beijing,4,THU4M9,0.056640625,False,0.25048828125
car,Beijing,4,THU4M10,0.05859375,False,0.26171875
chair,Beijing,7,THU8M16,0.0498046875,True,0.34814453125
tree,Beijing,4,THU4F6,0.07861328125,True,0.272216796875
bird,Beijing,4,THU4M10,0.1240234375,False,0.2271728515625
watch,Beijing,5,THU5F3,0.04443359375,False,0.2802734375
tree,Beijing,7,THU7F39,0.03857421875,False,0.287353515625
tree,Beijing,5,THU5M3,0.1083984375,False,0.26220703125
chair,Beijing,5,THU6M1,0.0615234375,False,0.293212890625
tree,Beijing,5,THU6M1,0.09423828125,False,0.2449951171875
tree,Beijing,9,THU9M39,0.0751953125,True,0.3291015625
cat,Beijing,9,THU9M13,0.037109375,True,0.301513671875
cup,Beijing,5,THU5M9,0.04931640625,False,0.260986328125
cat,Beijing,7,THU7M17,0.0517578125,False,0.269775390625
house,Beijing,9,THU9F35,0.05029296875,False,0.27001953125
watch,Beijing,6,THU6F32,0.04931640625,False,0.290771484375
airplane,Beijing,4,THU4M04,0.09130859375,False,0.25390625
airplane,Beijing,7,THU7F15,0.05224609375,True,0.29296875
bike,Beijing,7,THU7M18,0.06298828125,True,0.302001953125
bike,Beijing,6,THU6F19,0.05029296875,False,0.263427734375
bird,Beijing,4,THU4F6,0.06982421875,False,0.2423095703125
watch,Beijing,4,THU4M9,0.06494140625,True,0.30078125
chair,Beijing,9,THU9M3,0.09619140625,True,0.344970703125
bird,Beijing,8,THU8M36,0.07177734375,True,0.318603515625
car,Beijing,8,THU8M36,0.033203125,True,0.330322265625
house,Beijing,4,THU4M10,0.109375,False,0.2374267578125
tree,Beijing,9,THU9M3,0.0400390625,False,0.248291015625
house,Beijing,7,THU8M16,0.04833984375,True,0.32177734375
airplane,Beijing,5,THU5F3,0.0458984375,False,0.275146484375
watch,Beijing,5,THU5F2,0.07421875,True,0.274169921875
hat,Beijing,8,THU8F24,0.033203125,True,0.283447265625
hat,Beijing,6,THU6F20,0.033203125,True,0.2958984375
rabbit,Beijing,6,THU7M44,0.0244140625,True,0.318603515625
cup,Beijing,4,THU4F10,0.03076171875,False,0.26953125
watch,Beijing,7,THU7M17,0.0478515625,True,0.29541015625
