category,mean_cross_site_distance
rabbit,0.015380859375
tree,0.010009765625
cat,0.009847005208333334
bird,0.009114583333333334
car,0.009033203125
house,0.007486979166666667
chair,0.005940755208333333
cup,0.005940755208333333
airplane,0.005615234375
hat,0.005615234375
bike,0.004801432291666667
watch,0.00439453125
