site1,site2,r_full_clip,r_matched_clip,r_random_downsample_mean_clip,r_random_downsample_sd_clip,category_perm_p_clip,site_perm_p_clip,site_perm_null_mean_clip,site_perm_p_matched_clip,site_perm_null_mean_matched_clip
Beijing,San Jose,0.9531511034039324,0.935903594327604,0.9467098678373342,0.009871487868778247,0.0,0.711,0.9404184102651633,0.577,0.9274946389522102
Beijing,Kisumu,0.7245559675648969,0.8573740723534696,0.7049102981615839,0.06157117697128205,0.0,0.0,0.9280499157978316,0.053,0.9161488226343493
Beijing,Delhi,0.8195990438331385,0.8880696788393141,0.8000533831871612,0.05436465263641604,0.0,0.0,0.9428004830181639,0.072,0.9290226107466356
San Jose,Kisumu,0.7767869284052522,0.8891905455593425,0.7452249362461978,0.05459272291722535,0.0,0.0,0.9239946528419548,0.182,0.9144329446638106
San Jose,Delhi,0.8420211782706256,0.874148880115299,0.8212835135576048,0.05076020336126902,0.0,0.0,0.940988850677896,0.079,0.9142838092840727
Kisumu,Delhi,0.8108167378965282,0.8665232623745079,0.7711262873127989,0.051697841218102426,0.0,0.0,0.9508154289340224,0.085,0.9124364049117205
