site1,site2,r_full_dinov2,r_matched_dinov2,r_random_downsample_mean_dinov2,r_random_downsample_sd_dinov2,category_perm_p_dinov2,site_perm_p_dinov2,site_perm_null_mean_dinov2,site_perm_p_matched_dinov2,site_perm_null_mean_matched_dinov2
Beijing,San Jose,0.8734996346936647,0.8254044462999689,0.8602877430111231,0.020056135504707147,0.0,0.148,0.9063466539480459,0.1,0.8805795713673018
Beijing,Kisumu,0.6805761402776329,0.7794802212712661,0.6716685105938839,0.06342076113640263,0.0,0.0,0.8907966183070661,0.055,0.863169134816139
Beijing,Delhi,0.6391190898653586,0.7085899175451416,0.6318960442542533,0.05515877118995763,0.0,0.0,0.9180604188427037,0.0,0.8831431651443341
San Jose,Kisumu,0.6638346727898967,0.8310823504853357,0.6484662081090282,0.06852218958989156,0.0,0.0,0.8841952293034496,0.256,0.8587934871099052
San Jose,Delhi,0.7317607765368962,0.8190168040914311,0.7150181300368718,0.04998361428676711,0.0,0.0,0.9196203834021344,0.108,0.8759622890589854
Kisumu,Delhi,0.7640747312389105,0.7722575931531156,0.7106444003757437,0.06015740700582042,0.0,0.0,0.9393736770691996,0.025,0.8766730293820437
